text,source,TOXICITY,IDENTITY_ATTACK,INSULT,THREAT
"Good point. We do have torque reduction if an obstacle is detected, but active braking would be better. Prime directive is: do not crash. ",elonmusk,0.038967576,0.01711094,0.015923347,0.07913071
What happened here? ,elonmusk,0.039164424,0.023915073,0.013984494,0.047925375
Canada USA Mexico ,elonmusk,0.09034996,0.18121487,0.053743247,0.042864554
And Mars ,elonmusk,0.040783245,0.025496267,0.01879635,0.045658827
Tesla AI Day August 19th ,elonmusk,0.044731915,0.034757026,0.0198115,0.05841042
"SpaceX is developing rockets needed to make life multiplanetary — full &amp; rapid reusability at large scale. Even if SpaceX fails in that goal, the rockets will still be most advanced on Earth. Starlink‘s purpose is to provide Internet to the least served &amp; to pay for Mars. ",elonmusk,0.07604547,0.045464862,0.04465859,0.20117024
Sorry it took so long ,elonmusk,0.06839998,0.046746418,0.031868905,0.102286056
Tesla FSD 10.8 plus holiday fun software release probably Tuesday ,elonmusk,0.024668,0.018170418,0.008889981,0.073584236
Wild $T1mes! ,elonmusk,0.15299247,0.056428164,0.114802584,0.13693835
Hopefully addressed this summer ,elonmusk,0.06270486,0.042999964,0.027459878,0.1642133
The ship is just begging for three more vacuum engines to be added. Tanks will stretch for more propellant load. ,elonmusk,0.14464337,0.1725381,0.13665782,0.19483067
"Wow, lot of interest in FSD beta! Plan is to roll out version 10.2 midnight Friday, then on-ramp ~1000 owners/day, prioritized by safety rating. ",elonmusk,0.042355377,0.021446276,0.024197515,0.083269775
Good point ,elonmusk,0.037424557,0.024682716,0.016283235,0.06532128
This is true power haha ,elonmusk,0.09178614,0.04955248,0.04311246,0.101661965
Yikes ,elonmusk,0.07396416,0.045630004,0.04472106,0.079947755
This was way past leg loads. They got squashed hard. ,elonmusk,0.3445948,0.13847478,0.20793214,0.61651397
Launch abort on slightly conservative high thrust limit. Increasing thrust limit &amp; recycling propellant for another flight attempt today. ,elonmusk,0.2418111,0.36811787,0.17542385,0.4984662
Congratulations ,elonmusk,0.036486156,0.048708446,0.013499909,0.0656946
"Good point, we could enable visualization before control. Will enable that option hopefully next month. ",elonmusk,0.037250206,0.018395646,0.019387,0.039408334
Of spaceflight ,elonmusk,0.06693085,0.034806784,0.03426244,0.113646634
Giga Berlin progress ,elonmusk,0.07637822,0.10762125,0.048414513,0.1030252
"Seriously, negative nominal interest rates!? What is the world coming to … ",elonmusk,0.08989913,0.047876365,0.070296444,0.04432984
"Great progress so far! Thank you for the support from Brandenburg. I would also like to express appreciation for the permit authorities, as I know this is a large and complex project. When all the finishing touches are done, I hope it will be considered a jewel of Brandenburg! ",elonmusk,0.13675907,0.14296511,0.14667496,0.18577302
Web3 sounds like bs ,elonmusk,0.1946262,0.12601684,0.18803142,0.1155369
"Sure, I have a ton ",elonmusk,0.041164834,0.025118211,0.014245794,0.05227469
"“History is written by the victors” except on Wikipedia, as your enemies are still alive &amp; have lots of time on their hands 🤣🤣 ",elonmusk,0.18194738,0.16101219,0.12973998,0.36220372
I was slightly aiming for that ,elonmusk,0.08127752,0.05196933,0.033065625,0.10887804
"Yeah. By default, engine with least lever arm would shut down if all 3 are good. ",elonmusk,0.10254776,0.06710481,0.051321097,0.3968501
Absolutely ,elonmusk,0.058137126,0.037331823,0.025142448,0.07198493
Dark Helmet emotes Plaid well ,elonmusk,0.07565241,0.097082645,0.039996434,0.10979694
"FSD Beta 9.2 is actually not great imo, but Autopilot/AI team is rallying to improve as fast as possible. We’re trying to have a single stack for both highway &amp; city streets, but it requires massive NN retraining. ",elonmusk,0.06853093,0.0407973,0.038146034,0.08061234
I just set up some little Doge mining rigs with my kids. It was fun. ,elonmusk,0.18833497,0.13911927,0.123079054,0.49141723
Tesla is the king of car farts! ,elonmusk,0.6204266,0.19231169,0.5221319,0.1844831
We will make it happen! ,elonmusk,0.15417437,0.09266653,0.062091958,0.56172526
Model S goes to Plaid speed this week ,elonmusk,0.09348735,0.09214134,0.050924625,0.19276175
High seas &amp; wind ,elonmusk,0.07904464,0.049187236,0.034713786,0.10894358
NFTs are jpeging the dollar ,elonmusk,0.24066104,0.18727417,0.18126266,0.33635154
"Tesla software team is excellent even when compared to the best software companies. This is a big deal, as cars are very much computers on wheels. ",elonmusk,0.03243745,0.019877445,0.018887028,0.021855202
"If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo. ",elonmusk,0.09646793,0.06519272,0.08115001,0.12195284
Literally can’t tell if this is real or deep fake 🤣🤣🤣 ,elonmusk,0.18301383,0.11147104,0.14742883,0.14616267
Great to hear! ,elonmusk,0.04680987,0.02972075,0.0209582,0.06990782
Population collapse is what’s actually happening ,elonmusk,0.12959495,0.06894455,0.08778172,0.28795108
"Booster engines are not shrouded by skirt extension, as with ship. Engines extend about 3m below booster. ",elonmusk,0.0757304,0.061405793,0.03746292,0.05618013
The most entertaining outcome is the most likely ,elonmusk,0.050410446,0.03297231,0.022058504,0.08112196
m something something ,elonmusk,0.056157514,0.030754507,0.019162709,0.07859501
Monkey plays Pong with his mind ,elonmusk,0.42309532,0.29926166,0.45725536,0.16637248
"Pluto takes 248 years to orbit the sun, but Uranus only takes 84 ",elonmusk,0.14664511,0.07371489,0.10006976,0.17921488
"FCC is fair &amp; sensible. NHTSA &amp; FAA too. 99.9% of the time, I agree with regulators! On rare occasions, we disagree. This is almost always due to new technologies that past regulations didn’t anticipate. ",elonmusk,0.08804132,0.08211664,0.04622831,0.07918846
Yes! ,elonmusk,0.031337876,0.018667422,0.013102318,0.047176365
"It will have high pressure air rocket thrusters behind a license plate that flips down. Bong, James Bong … ",elonmusk,0.096028715,0.05098599,0.061567657,0.1792309
😬 ,elonmusk,0.034207862,0.018252123,0.013486333,0.046069235
Do androids dream of electric cars? ,elonmusk,0.08502752,0.025626935,0.04931056,0.18773484
Some quarks &amp; a lepton walk into a bar … ,elonmusk,0.27495438,0.24238272,0.19831988,0.36796224
"2021 has been the year of super crazy supply chain shortages, so it wouldn’t matter if we had 17 new products, as none would ship. Assuming 2022 is not mega drama, new Roadster should ship in 2023. ",elonmusk,0.17990379,0.06286457,0.25836512,0.06507144
They do ,elonmusk,0.033184897,0.020147443,0.014392031,0.06388718
Make humanity a multiplanet species! ,elonmusk,0.31089434,0.35048613,0.18962435,0.53478783
No it doesn’t hurt at all 🩸 ,elonmusk,0.2419519,0.23920405,0.16730207,0.276707
True ,elonmusk,0.03378105,0.019852644,0.013282216,0.047289245
"Doge appears to be inflationary, but is not meaningfully so (fixed # of coins per unit time), whereas BTC is arguably deflationary to a fault. Transaction speed of Doge should ideally be a few orders of magnitude faster. ",elonmusk,0.060341753,0.046816,0.048690192,0.052269068
"- Everything on the Internet is true! - Externalize responsibility! - If you are able to do this, buy crypto! ",elonmusk,0.17633119,0.099656485,0.21558557,0.12111001
Looking good at ~378 sec. Continued improvement will get it over 380. ,elonmusk,0.06025559,0.025742719,0.032166198,0.09843623
Steam engines are even better! ,elonmusk,0.050356,0.037835866,0.019716334,0.09592275
"If 2021 manifest is met, SpaceX will do ~75% of total Earth payload to orbit with Falcon. A single Starship is designed to do in a day what all rockets on Earth currently do in a year. Even so, ~1000 Starships will take ~20 years to build a self-sustaining city on Mars. ",elonmusk,0.07407246,0.034058917,0.054404933,0.13323332
No amount of money can defy physics ,elonmusk,0.14464356,0.13758226,0.1156945,0.09535059
"We are breaking ground soon on a second Raptor factory at SpaceX Texas test site. This will focus on volume production of Raptor 2, while California factory will make Raptor Vacuum &amp; new, experimental designs. ",elonmusk,0.063352734,0.044547886,0.027354708,0.12936683
Major new Supercharger station coming to Santa Monica soon! Hoping to have 50’s diner &amp; 100 best movie clips playing too. Thanks Santa Monica city! ,elonmusk,0.045433756,0.036149047,0.020261709,0.04182097
True ,elonmusk,0.03378105,0.019852644,0.01328221,0.047289245
Best of luck tomorrow! ,elonmusk,0.037372913,0.014924707,0.016625589,0.07873827
"Replacement rate is 2.1, so roughly 31 generations, but let’s try to avoid this! ",elonmusk,0.06135647,0.032729533,0.03808134,0.09066392
"When the 10b preprogrammed sales complete. There are still a few tranches left, but almost done. ",elonmusk,0.101816684,0.09502984,0.08666352,0.09546273
Hard to beat the Great Pyramid! ,elonmusk,0.15407948,0.06439515,0.08623018,0.58453906
Splish splash ,elonmusk,0.08992389,0.06706625,0.06681625,0.13693386
These are strange days ,elonmusk,0.100223795,0.08261501,0.05287887,0.10008081
traceroute woke_mind_virus ,elonmusk,0.10712693,0.09152037,0.09561133,0.07162615
♥️♥️ ,elonmusk,0.050836217,0.027189115,0.018196404,0.087024204
"Meant to say county (sigh). Airport will be part of it, but required additional federal approvals. ",elonmusk,0.03210843,0.009967556,0.013070781,0.071974084
"Probably mid year, but Starlink is really meant for those who are least served. Bay usually has great Internet. ",elonmusk,0.049862742,0.020414758,0.04056205,0.028788555
The most entertaining outcome is the most likely ,elonmusk,0.050410446,0.03297231,0.022058504,0.081121884
Indeed! Tweets definitely do not represent real-world time allocation. ,elonmusk,0.084612496,0.065105766,0.069872424,0.08703499
Maxwell was incredible ,elonmusk,0.047427844,0.03247464,0.017794568,0.07824279
Thanks ,elonmusk,0.046855554,0.04006358,0.015752612,0.0716318
"If Tesla owners are “conspiracy theorists”, then it would be fair to call them “advertising salespeople masquerading as truthtellers”. If that’s an unfair criticism, a simple rebuttal would be to show their articles per fatality for all automakers. Tesla is ~0.02% of deaths … ",elonmusk,0.09999002,0.055889506,0.09872832,0.1506644
🤣 ,elonmusk,0.04422757,0.025492689,0.016540434,0.059073903
"Hell of a rocket! Probably would have succeeded if Korolev had not died. Hopefully, Starship is more fortunate. ",elonmusk,0.3256019,0.14673817,0.19764356,0.521284
"Running preproduction software is both work &amp; fun. Beta list was in stasis, as we had many known issues to fix. Beta 9 addresses most known issues, but there will be unknown issues, so please be paranoid. Safety is always top priority at Tesla. ",elonmusk,0.19295134,0.06262027,0.2460259,0.16220511
We are waiting for permit approval from Santa Monica ,elonmusk,0.0141271725,0.015545923,0.0060130563,0.025797931
Shopify is great too. SpaceX used them. ,elonmusk,0.079054855,0.07888966,0.046282135,0.1171514
The great thing about restaurants is that you get to hang out with strangers! - SJM ,elonmusk,0.19849277,0.09681034,0.11357621,0.6344545
It’s a quintillion (10^18) floating point operations per second – enough to simulate a human brain ,elonmusk,0.31089434,0.13014305,0.3719763,0.1798862
"Tbh, I was into PC &amp; still into PC ",elonmusk,0.052965935,0.039414193,0.016919687,0.10367702
Found this pic of me as a child ,elonmusk,0.31029233,0.13097681,0.13992871,0.2925634
"Tesla AI, both hardware &amp; software, is deeply underestimated ",elonmusk,0.05536752,0.053060696,0.022054344,0.09283716
Munro rocks! ,elonmusk,0.06872025,0.04072543,0.046493642,0.105046816
Worth it ,elonmusk,0.06372163,0.039282177,0.027506888,0.17293416
Real time ,elonmusk,0.056042008,0.034801375,0.026006363,0.092902176
"16 flights is extremely unlikely. Starship payload to orbit is ~150 tons , so max of 8 to fill 1200 ton tanks of lunar Starship. Without flaps &amp; heat shield, Starship is much lighter. Lunar landing legs don’t add much (1/6 gravity). May only need 1/2 full, ie 4 tanker flights. ",elonmusk,0.07120191,0.045625217,0.031082632,0.10559115
I suspect that name made him strong ,elonmusk,0.08045189,0.046218183,0.049858134,0.08339243
🤣🤣 ,elonmusk,0.04637822,0.030365858,0.019473482,0.060888506
Absolutely! Tesla team rocks 💕 ,elonmusk,0.06645326,0.03878786,0.03715605,0.06389444
That is the acid test ,elonmusk,0.1185831,0.025783664,0.042872764,0.257784
Hadn’t showered in several days. We are going hardcore with Starbase Surge. ,elonmusk,0.04822719,0.03017965,0.025891727,0.06434785
Correct ,elonmusk,0.024654884,0.019054493,0.0099511575,0.037278168
Yup ,elonmusk,0.023843074,0.015546752,0.009307207,0.037407592
We should be laughing our asses off if it’s so damn smart! ,elonmusk,0.7093121,0.14840153,0.57817155,0.32890114
! ,elonmusk,0.051617466,0.02043318,0.021149999,0.063305706
And increase fun! Hopefully. ,elonmusk,0.061989196,0.03466442,0.025765872,0.1385274
🤣🤣 ,elonmusk,0.046378195,0.030365871,0.019473482,0.060888506
"Ship 16 &amp; Booster 2, Starbase Highbay ",elonmusk,0.06072203,0.042470917,0.02381804,0.13570295
Absolutely! They rock. 🖤 ,elonmusk,0.07398019,0.04623159,0.04210652,0.09615613
Throw in some hydrogen &amp; lithium for a real party ,elonmusk,0.16996315,0.085496806,0.075671844,0.44303384
We’re almost done with first prototype booster. This will go to test stand A. Next one will fly to orbit. Team has been crushing it many days &amp; nights in a row! ,elonmusk,0.11234829,0.058921665,0.057626713,0.3690799
Bought a hand knit wool Marvin the Martian helm for my dog ,elonmusk,0.24749386,0.12586425,0.18750015,0.15961492
"That’s actually our restaurant, but SpaceX is building a futuristic bar at the top of the high bay with 360 degree windows &amp; a glass floor looking down on the rocket factory ",elonmusk,0.088730454,0.05658805,0.052235868,0.15744065
Most people have no idea Starship exists or how large this beast is! Body diameter (9m or 30 ft) is bigger than a 747 or A380. Starship thrust &amp; mass are more than double Saturn V moon rocket. Making life multiplanetary means massive rockets. Got to be done. ,elonmusk,0.15295595,0.086406365,0.14935401,0.18443283
Haha true ,elonmusk,0.041831907,0.025648411,0.013672173,0.051932424
No need to be a gigachad to own ,elonmusk,0.09131496,0.05522046,0.07527498,0.075215936
"Laser links in orbit can reduce long-distance latency by as much as 50%, due to higher speed of light in vacuum &amp; shorter path than undersea fiber ",elonmusk,0.067866564,0.05761884,0.028910182,0.13824743
"Demand is no problem, but near-term cell supply makes it hard to scale Semi. This limitation will be less onerous next year. ",elonmusk,0.0720696,0.03757531,0.049584217,0.110596046
All sats launched next year will have laser links. Only our polar sats have lasers this year &amp; are v0.9. ,elonmusk,0.03361835,0.028991738,0.012783039,0.04336319
Who is 👌 ,elonmusk,0.085524686,0.0583794,0.0628189,0.076483
"Good review &amp; fair critique. In general with interfaces, all input is error. With each software update, the car’s intuition will get better. You will need to press buttons less &amp; less &amp; it will know when to ignore accidental button presses. ",elonmusk,0.061455064,0.021477537,0.028583935,0.08028366
Tegmark is an exceptionally smart &amp; good human ,elonmusk,0.2778713,0.1547745,0.25108105,0.37169015
There is something great about the Cessna 172/182 design ,elonmusk,0.083204545,0.08004588,0.05173829,0.10709535
🤣🤣 ,elonmusk,0.04637822,0.030365871,0.019473482,0.060888506
This is how I imagine most theaters are these days haha ,elonmusk,0.06450488,0.04075769,0.030728817,0.061757527
Starship landing nominal! ,elonmusk,0.08522482,0.047432862,0.062232368,0.07527522
The Starships feast in Valhalla! ,elonmusk,0.11381603,0.10772967,0.07855094,0.1220071
"Predicting macroeconomics is challenging, to say the least. My gut feel is maybe around spring or summer 2022, but not later than 2023. ",elonmusk,0.061442457,0.028041951,0.038167663,0.04894546
Irony indeed ,elonmusk,0.15509447,0.097330675,0.13145655,0.19706847
It is an honor to serve NASA and the countries of the International Space Station ,elonmusk,0.0670357,0.057589248,0.039785307,0.036198303
"Outer engine ring is fixed angle, but can throttle ",elonmusk,0.12397796,0.09231787,0.072430834,0.33199602
We will need launch tower for that. Hook height for the lift is ~140 m &amp; both booster &amp; ship need to be stabilized at stage separation joint. ,elonmusk,0.1919188,0.17578861,0.121622704,0.5939233
"Ok, let’s figure this out tomorrow. I’m all for exciting video coverage, but we also can’t have the place festooned with cameras. ",elonmusk,0.050031163,0.027077055,0.025329575,0.061895605
Fallout New Texas ,elonmusk,0.060209144,0.07091881,0.030925466,0.077308096
"Due to lack of banging, civilization might ended with a whimper! Adult diaper sales growth is much higher than baby diaper sales growth. ",elonmusk,0.2434796,0.087710194,0.25000295,0.2739998
YOLT ,elonmusk,0.09034162,0.06090302,0.04666899,0.15554796
Construction starts soon on a much larger high bay just north of current high bay ,elonmusk,0.04875499,0.025155092,0.01697422,0.06392605
The [ahem] reach-around ,elonmusk,0.047619972,0.022742564,0.019262075,0.054754984
Yes ,elonmusk,0.032314777,0.020646175,0.011699174,0.046971988
Beta 10.3 releasing Friday next week to all cars with 99/100 safety score ,elonmusk,0.07883842,0.03798825,0.03496724,0.19571875
Interesting ,elonmusk,0.020576587,0.020386068,0.006105692,0.05005119
"Baby Doge, doo, doo, doo, doo, doo, Baby Doge, doo, doo, doo, doo, doo, Baby Doge, doo, doo, doo, doo, doo, Baby Doge ",elonmusk,0.13616568,0.07908097,0.11385601,0.0993242
Ocean spaceport Deimos is under construction for launch next year ,elonmusk,0.051484972,0.02041226,0.017343665,0.080773
And books haha ,elonmusk,0.0942419,0.05562548,0.0736435,0.10533608
Destiny ,elonmusk,0.037109155,0.020142687,0.01520005,0.0543475
Black ,elonmusk,0.23173478,0.30274466,0.17434204,0.038142756
Cybertruck option package ,elonmusk,0.12937172,0.09005622,0.113398865,0.121008076
Improved FSD screen. Attempting to show the “mind” of the car. ,elonmusk,0.070776895,0.023916164,0.048701745,0.057116807
“ISIS” ,elonmusk,0.15308493,0.27692518,0.09684398,0.18435895
I thought nothing could be nuttier than ‘99 ,elonmusk,0.54548824,0.26957533,0.6350345,0.23011015
Satellites with “lasers” in “space” [strokes white cat] ,elonmusk,0.036505084,0.011443287,0.01898785,0.03436784
"I’m actually 3000 years old, but, at the risk of being immodest, I think I look good even for 2500 years! Still have my original chariot license in papyrus … ",elonmusk,0.082388856,0.07726498,0.048291128,0.113943264
"Origin of Doge Day Afternoon: The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the cause of the hot, sultry weather. ",elonmusk,0.02356528,0.006214409,0.014756979,0.05041091
Certainly one of the largest. A company whose name rhymes with Shmoogle is pretty far ahead. But I think we’re the leader in shallow-minded AI haha! ,elonmusk,0.17528385,0.07189567,0.25705907,0.071962416
It is ,elonmusk,0.02252856,0.01092714,0.0071006343,0.03046264
"I had majority control for the first 5 years or so of Tesla, but car companies need lots of capital, so now I’m around 20% or so, despite putting in as much as I could along the way ",elonmusk,0.0343582,0.030832563,0.014322156,0.047023237
First production car ever to achieve 0 to 60 mph in less than 2 seconds ,elonmusk,0.106446534,0.08075921,0.08727728,0.11040568
"I worked for Peter Nicholson, who is awesome. Mostly, we exchanged math riddles, although I did figure out a multi-billion dollar arbitrage opportunity for the bank. Figured they’d at least give me $1/hour raise, but no … ",elonmusk,0.053541288,0.038764056,0.034836486,0.064336896
"I am definitely not saying that we can for sure do this, but I am increasingly confident that it is possible ",elonmusk,0.05182802,0.03417799,0.013740197,0.0465265
Of Earth and Mars ,elonmusk,0.082466945,0.029493457,0.046562105,0.08263395
A monkey is literally playing a video game telepathically using a brain chip!! ,elonmusk,0.480628,0.1512746,0.53867376,0.30688858
😍 ,elonmusk,0.06877293,0.041750677,0.028543603,0.24524209
Mind of car visualization will improve a lot in coming releases. Brightness/translucency indicate confidence of neural net in predicting any given object. Acid test is being able to assess with quick glance at screen if car fully understands environment. ,elonmusk,0.017870057,0.018871726,0.012781753,0.014669521
Proof was good! ,elonmusk,0.05710738,0.054574016,0.025666235,0.092225924
Speed will double to ~300Mb/s &amp; latency will drop to ~20ms later this year ,elonmusk,0.06578274,0.03047515,0.02463247,0.17818175
Yup ,elonmusk,0.023843085,0.015546752,0.009307202,0.037407573
"Just want to emphasize this is the work of hundreds of awesome engineers in both software &amp; hardware, over 1000 data analysts &amp; billions of owner miles ",elonmusk,0.03227775,0.02196375,0.011038447,0.03898682
Absolutely ,elonmusk,0.058137126,0.037331823,0.025142448,0.07198496
"Yeah, should be fully mobile later this year, so you can move it anywhere or use it on an RV or truck in motion. We need a few more satellite launches to achieve compete coverage &amp; some key software upgrades. ",elonmusk,0.042868223,0.036376476,0.019284964,0.066089205
👍 ,elonmusk,0.027388396,0.016604088,0.010976931,0.04593346
It was an honor to wish you Godspeed before you left for orbit! ,elonmusk,0.1149684,0.061322786,0.10819353,0.16953829
Yes ,elonmusk,0.032314777,0.020646183,0.011699168,0.046971947
Yes ,elonmusk,0.032314777,0.020646155,0.0116991615,0.046971988
Truth is stranger than fiction ,elonmusk,0.0982083,0.07928749,0.054381844,0.08458208
That is an exciting goal! ,elonmusk,0.045896012,0.033689167,0.01582652,0.062489297
"Chris was an early employee of SpaceX, and made a significant contribution, but was not a cofounder ",elonmusk,0.08031369,0.04298676,0.072547495,0.02712618
"They’re required by law, but designed to be easy to remove by owners ",elonmusk,0.0545596,0.026410459,0.018234765,0.16463612
"As described in The Moon is a Harsh Mistress (great book), a linear accelerator would be great for the moon. Earth’s gravity is too high &amp; atmosphere too dense for accelerators to be a good solution vs reusable boosters imo. ",elonmusk,0.08547388,0.07134332,0.08636613,0.05656246
🤣 ,elonmusk,0.044227507,0.025492689,0.016540442,0.059073903
Cybertruck doesn’t need a garage ,elonmusk,0.33086383,0.17918195,0.32443476,0.23905745
Production is hard. Production with positive cash flow is extremely hard. ,elonmusk,0.06805725,0.048098948,0.030843128,0.104736656
(Zero is a cool concept) ,elonmusk,0.022589684,0.015730433,0.009979014,0.034683365
Tunnels!! ,elonmusk,0.07095447,0.051697955,0.03276372,0.087739855
"T/W will be ~1.5, so it will accelerate unusually fast. High T/W is important for reusable vehicles to make more efficient use of propellant, the primary cost. For expendable rockets, throwing away stages is the primary cost, so optimization is low T/W. ",elonmusk,0.07748656,0.07198016,0.058109768,0.15582407
That’s why I’m pro Doge ,elonmusk,0.15363252,0.0915095,0.10553361,0.18581599
"Beta button will request permission to assess driving behavior using Tesla insurance calculator. If driving behavior is good for 7 days, beta access will be granted. ",elonmusk,0.07390741,0.05588465,0.054551147,0.11555664
Plaid release event ,elonmusk,0.05238699,0.031280693,0.020165019,0.073290765
Brain transplants ,elonmusk,0.1765326,0.10616356,0.16772231,0.12947692
Will investigate ,elonmusk,0.04360366,0.031552527,0.019864671,0.058714673
👏👏 ,elonmusk,0.0824475,0.04561178,0.04538431,0.10389972
"There are many other good causes, but this is my main reason for accumulating capital. The resources I consume personally are very low. ",elonmusk,0.07153267,0.05030651,0.041025575,0.043130375
Tesla Autopilot spends a lot of effort on minimizing jerk ,elonmusk,0.83380914,0.19994684,0.8885778,0.10626517
"Raptor 2 has a larger throat diameter, so thrust is ~245 tons at 321 bar ",elonmusk,0.07596783,0.031591468,0.036867686,0.1569779
Probably two weeks ,elonmusk,0.049305975,0.029718935,0.02118174,0.06023556
One of the best Tesla Solar Roof installations ,elonmusk,0.050608173,0.071175925,0.025278827,0.09298657
Technical details will be in release notes ,elonmusk,0.046595246,0.019534089,0.017686356,0.07094436
Ashok was the first person recruited from my tweet saying that Tesla is starting an Autopilot team! ,elonmusk,0.04587464,0.028259506,0.023158515,0.0248501
🙏 ,elonmusk,0.038205776,0.021495493,0.015499101,0.04761189
The simulation really struggled to make this look real haha ,elonmusk,0.06498993,0.033418417,0.029269002,0.047856618
Fast water with tiny rocks ,elonmusk,0.10498803,0.05847725,0.07623941,0.119409844
Yup ,elonmusk,0.023843074,0.015546752,0.009307197,0.037407573
Cryptocurrency explained ,elonmusk,0.06045957,0.047342155,0.030158423,0.0630063
It’s true ,elonmusk,0.027614072,0.01643126,0.01023598,0.039925214
🤣🤣 ,elonmusk,0.04637822,0.030365858,0.019473491,0.060888506
"Still many fine details to address, but the final product will be fantastic. There’s nothing else even close. ",elonmusk,0.036251396,0.018879076,0.018523205,0.06448029
"Also, Tesla will soon be a German car manufacturer. ",elonmusk,0.053751357,0.03394917,0.024648018,0.0831725
